objectid,parentid,title,description,coverage,isPartOf,creator,publisher,source,date,type,format,extent,language,relation,rights,license,display_template,object_location,image_small,image_thumb,image_alt_text
m13176,abb13176,‹Fressender Narr› aus dem Stammbuch von Jacob Götz,Stammbücher waren wichtige Medien der sozialen Vernetzung. Das Bild eines ‹fressenden Narren› aus dem Stammbuch von Jacob Götz spielt auf Exzesse während der Badeausflüge an. Im dazugehörigen Gedicht wird das «sufen» und «fressen» auf der Badenfahrt ironisch als «vom Tüfel» herkommend verurteilt.,Frühe Neuzeit,,Anonym,[Historisches Museum Basel](https://www.hmb.ch/),Historisches Museum Basel Inv. 1870.921,16XX,[Image](http://purl.org/dc/dcmitype/Image),image/tiff,7320x5484,de,"[Blogbeitrag, Stadt.Geschichte.Basel](https://stadtgeschichtebasel.ch/blog/1000-jahre-10-geschichten-skandal-goetzendienst-und-bilderstreit-im-basler-muenster);[Fasnacht, Historisches Lexikon Schweiz](https://hls-dhs-dss.ch/de/articles/011515/2005-11-28/)","CC BY-SA 4.0, Historisches Museum Basel, Inv. 1870.921, Foto Natascha Jansen",https://creativecommons.org/licenses/by-sa/4.0/,image,https://omeka.unibe.ch/files/original/f4a6236ecf044db7f919c43a0c5014a9ca530b63.tif,objects/f4a6236ecf044db7f919c43a0c5014a9ca530b63.jpg,objects/f4a6236ecf044db7f919c43a0c5014a9ca530b63.jpg,
abb13184,,"Heil-, Kur- und Wildbäder – Treffpunkte der Basler Elite","Die Heil-, Kur- und Wildbäder waren für die Basler Eliten wichtige soziale Räume. In den nahe der Stadt gelegenen Bädern trafen sie sich untereinander und mit dem Adel aus der Region. In weiter entfernten Orten wie dem Tagsatzungsort Baden vernetzten sie sich mit
den eidgenössischen und europäischen Eliten.",Frühe Neuzeit,"Burghartz, Susanna (Hg.): Aufbrüche, Krisen, Transformationen. 1510–1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/a86c3ded78e5d35b9ff725a2d3da0d06377bdb32.jpg,objects/a86c3ded78e5d35b9ff725a2d3da0d06377bdb32.jpg,
m13184_3,abb13184,Geodaten: Badeorte,"Heil-, Kur- und Wildbäder für die Basler Eliten.
Koordinatensystem: EPSG:2056 - CH1903+ / LV95",Frühe Neuzeit,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),,,,[Dataset](http://purl.org/dc/dcmitype/Dataset),application/geo+json,,,,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,geodata,https://omeka.unibe.ch/files/original/0e75420139262c45eb0d7c09687aa31385cd0363.geojson,assets/lib/icons/sgb-globe.svg,assets/lib/icons/sgb-globe.svg,
m13184_1,abb13184,"Heil-, Kur- und Wildbäder – Treffpunkte der Basler Elite","Die Heil-, Kur- und Wildbäder waren für die Basler Eliten wichtige soziale Räume. In den nahe der Stadt gelegenen Bädern trafen sie sich untereinander und mit dem Adel aus der Region. In weiter entfernten Orten wie dem Tagsatzungsort Baden vernetzten sie sich mit den eidgenössischen und europäischen Eliten.",Frühe Neuzeit,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),Terrain: Esri Inc.,,[Image](http://purl.org/dc/dcmitype/Image),application/pdf,1229x1208,,,"Public Domain Mark
Quelle: Terrain: Esri Inc., USA. Bearbeitung:
Nico Görlich / Moritz Twente",https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://omeka.unibe.ch/files/original/7f6b957d4ee12902cb491d90b4727d3c4b8ef712.pdf,objects/a86c3ded78e5d35b9ff725a2d3da0d06377bdb32.jpg,objects/a86c3ded78e5d35b9ff725a2d3da0d06377bdb32.jpg,
m13184_2,abb13184,"Legende zur Karte 'Heil-, Kur- und Wildbäder – Treffpunkte der Basler Elite'","Die Heil-, Kur- und Wildbäder waren für die Basler Eliten wichtige soziale Räume. In den nahe der Stadt gelegenen Bädern trafen sie sich untereinander und mit dem Adel aus der Region. In weiter entfernten Orten wie dem Tagsatzungsort Baden vernetzten sie sich mit den eidgenössischen und europäischen Eliten.",Neuzeit,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),,,[Image](http://purl.org/dc/dcmitype/Image),application/pdf,166x38,,,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://omeka.unibe.ch/files/original/af9a1a3bafa88ef8885efe04657975b751030705.pdf,objects/e79a6b707fdd05ea45a8c9bef53e1d7ebb94db35.jpg,objects/e79a6b707fdd05ea45a8c9bef53e1d7ebb94db35.jpg,
abb14219,,"Bürgermeister der Stadt Basel, mit Oberstknecht und zwei Ratsdienern","Farben, Zeichen und Insignien drückten die Basler Staatsgewalt und Rechtshoheit aus. Neben dem Bürgermeister besass der Oberstknecht, hier in Begleitung zweier Ratsdiener in Amtstracht dargestellt, weitgehende Befugnisse.",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/1986367db5d2a5980d0667d140506a08d993dd0f.jpg,objects/1986367db5d2a5980d0667d140506a08d993dd0f.jpg,
m14219,abb14219,"Bürgermeister der Stadt Basel, mit Oberstknecht und zwei Ratsdienern","Farben, Zeichen und Insignien drückten die Basler Staatsgewalt und Rechtshoheit aus. Neben dem Bürgermeister besass der Oberstknecht, hier in Begleitung zweier Ratsdiener in Amtstracht dargestellt, weitgehende Befugnisse.",Frühe Neuzeit,,Johann Sixt Ringle,[Historisches Museum Basel](https://www.hmb.ch/),Historisches Museum Basel Inv. 1977.292,1625~,[Image](http://purl.org/dc/dcmitype/Image),image/tiff,3780x2946,de,"[abb13751](https://forschung.stadtgeschichtebasel.ch/items/abb13751.html#,13751)","CC BY-SA 4.0, Historisches Museum Basel, Inv. 1977.292",https://creativecommons.org/licenses/by-sa/4.0/,image,https://omeka.unibe.ch/files/original/1986367db5d2a5980d0667d140506a08d993dd0f.tif,objects/1986367db5d2a5980d0667d140506a08d993dd0f.jpg,objects/1986367db5d2a5980d0667d140506a08d993dd0f.jpg,
abb14227,,"Basler Blutgerichtsstab, aus Elfenbein","Zu den Amtsinsignien des Oberstknechts gehörte der Blutgerichtsstab mit einem auf zwei gekreuzten Knochen liegenden Totenschädel, der bei der Verkündigung von Todesurteilen zum Einsatz kam.",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/7116c80b7ad667a7d580df0e86041f846a42903d.jpg,objects/7116c80b7ad667a7d580df0e86041f846a42903d.jpg,
m14227,abb14227,"Basler Blutgerichtsstab, aus Elfenbein","Zu den Amtsinsignien des Oberstknechts gehörte der Blutgerichtsstab mit einem auf zwei gekreuzten Knochen liegenden Totenschädel, der bei der Verkündigung von Todesurteilen zum Einsatz kam.",Frühe Neuzeit,,,[Historisches Museum Basel](https://www.hmb.ch/),[Historisches Museum Basel Inv. 1876.13](https://www.hmb.ch/museen/sammlungsobjekte/einzelansicht/s/basler-blutgerichtsstab/),..1763,[Image](http://purl.org/dc/dcmitype/Image),image/tiff,3814x4823,de,"[Egger, Franz: Zeichen der Macht - Macht der Zeichen: Visualisierung obrigkeitlicher Ordnung im 18. Jahrhundert: der Basler Oberstknecht und seine Amtsstäbe, in: Basler Zeitschrift für Geschichte und Altertumskunde, 102. Basel 2002.](https://www.e-periodica.ch/cntmng?var=true&pid=bzg-002:2002:102::340);[abb14219](https://forschung.stadtgeschichtebasel.ch/items/abb14219.html#m14219);[abb15034](https://forschung.stadtgeschichtebasel.ch/items/abb15034.html#m15034)","CC BY-SA 4.0, Historisches Museum Basel, Inv. 1876.13, Foto Maurice Babey",https://creativecommons.org/licenses/by-sa/4.0/,image,https://omeka.unibe.ch/files/original/7116c80b7ad667a7d580df0e86041f846a42903d.tif,objects/7116c80b7ad667a7d580df0e86041f846a42903d.jpg,objects/7116c80b7ad667a7d580df0e86041f846a42903d.jpg,
abb14375,,Die Amtsbezirke der Herrschaft Basel,"Die Landschaft Basels war in sieben Verwaltungsbezirke unterteilt: die Landvogteien Farnsburg, Homburg, Waldenburg, Liestal, Münchenstein, Riehen und Kleinhüningen. An der Spitze jeder Vogtei stand ein Landvogt, der im Auftrag des Rats das Polizei-, Steuer- und Militärwesen regelte.",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/0f371ad046c2ad912218683247a28923348220d7.jpg,objects/0f371ad046c2ad912218683247a28923348220d7.jpg,
m14375_4,abb14375,Geodaten: Vogteisitze der Herrschaft Basel,"Die Landschaft Basels war in sieben Verwaltungsbezirke unterteilt: die Landvogteien Farnsburg, Homburg, Waldenburg, Liestal, Münchenstein, Riehen und Kleinhüningen.
Koordinatensystem: EPSG:2056 - CH1903+ / LV95",Frühe Neuzeit,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),Marco Zanoli,[Gliederung des Stadtstaats Basel 1988&#59 Marco Zanoli / Wikimedia Commons.](https://commons.wikimedia.org/wiki/File:Gliederung_Stadtstaat_Basel_1798.png),,[Dataset](http://purl.org/dc/dcmitype/Dataset),application/geo+json,,,,"CC BY-SA 4.0
Quelle: Gliederung des Stadtstaats Basel
1988; Marco Zanoli / Wikimedia Commons.
Bearbeitung: Nico Görlich / Moritz Twente",https://creativecommons.org/licenses/by/4.0/,geodata,https://omeka.unibe.ch/files/original/874bd5ded06e53bdd96cffa030a3fe03345f3308.geojson,assets/lib/icons/sgb-globe.svg,assets/lib/icons/sgb-globe.svg,
m14375_3,abb14375,Geodaten: Amtsbezirke der Herrschaft Basel,"Die Landschaft Basels war in sieben Verwaltungsbezirke unterteilt: die Landvogteien Farnsburg, Homburg, Waldenburg, Liestal, Münchenstein, Riehen und Kleinhüningen.
Koordinatensystem: EPSG:2056 - CH1903+ / LV95",Frühe Neuzeit,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),Marco Zanoli,[Gliederung des Stadtstaats Basel 1988&#59 Marco Zanoli / Wikimedia Commons.](https://commons.wikimedia.org/wiki/File:Gliederung_Stadtstaat_Basel_1798.png),,[Dataset](http://purl.org/dc/dcmitype/Dataset),application/geo+json,,,,"CC BY-SA 4.0
Quelle: Gliederung des Stadtstaats Basel
1988; Marco Zanoli / Wikimedia Commons.
Bearbeitung: Nico Görlich / Moritz Twente",https://creativecommons.org/licenses/by/4.0/,geodata,https://omeka.unibe.ch/files/original/ec830568b87631b9b2a6da11e8ac2426def6610c.geojson,assets/lib/icons/sgb-globe.svg,assets/lib/icons/sgb-globe.svg,
m14375_1,abb14375,Die Amtsbezirke der Herrschaft Basel,"Die Landschaft Basels war in sieben Verwaltungsbezirke unterteilt: die Landvogteien Farnsburg, Homburg, Waldenburg, Liestal, Münchenstein, Riehen und Kleinhüningen. An der Spitze jeder Vogtei stand ein Landvogt, der im Auftrag des Rats das Polizei-, Steuer- und Militärwesen regelte.",Frühe Neuzeit,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),[Marco Zanoli / Wikimedia Commons](https://commons.wikimedia.org/wiki/File:Gliederung_Stadtstaat_Basel_1798.png),,[Image](http://purl.org/dc/dcmitype/Image),application/pdf,1417x1179,de,,"CC BY-SA 4.0
Quelle: Gliederung des Stadtstaats Basel
1988; Marco Zanoli / Wikimedia Commons.
Bearbeitung: Nico Görlich / Moritz Twente",https://creativecommons.org/licenses/by/4.0/,pdf,https://omeka.unibe.ch/files/original/b6d0cfc8cc4bf608917ae38dae2c33b616417a86.pdf,objects/0f371ad046c2ad912218683247a28923348220d7.jpg,objects/0f371ad046c2ad912218683247a28923348220d7.jpg,
m14375_2,abb14375,Legende zur Karte 'Die Amtsbezirke der Herrschaft Basel',"Die Landschaft Basels war in sieben Verwaltungsbezirke unterteilt: die Landvogteien Farnsburg, Homburg, Waldenburg, Liestal, Münchenstein, Riehen und Kleinhüningen. An der Spitze jeder Vogtei stand ein Landvogt, der im Auftrag des Rats das Polizei-, Steuer- und Militärwesen regelte.",Frühe Neuzeit,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),[Marco Zanoli / Wikimedia Commons](https://commons.wikimedia.org/wiki/File:Gliederung_Stadtstaat_Basel_1798.png),,[Image](http://purl.org/dc/dcmitype/Image),application/pdf,873x447,de,,"CC BY-SA 4.0
Quelle: Gliederung des Stadtstaats Basel
1988; Marco Zanoli / Wikimedia Commons.
Bearbeitung: Nico Görlich / Moritz Twente",https://creativecommons.org/licenses/by/4.0/,pdf,https://omeka.unibe.ch/files/original/363ad0d7ac33d9de489498942e3041cecbb7bccb.pdf,objects/70be81904ae08cd7e9bf2307a267d8fe6c79b08d.jpg,objects/70be81904ae08cd7e9bf2307a267d8fe6c79b08d.jpg,
abb14397,,Die Basler Ratsverfassung,Das politische System war durch ein komplexes Geflecht von Ämtern und Institutionen geprägt. Es beruhte wesentlich auf Ungleichheit. Wahlberechtigt waren nur männliche Bürger.,Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,,,
abb24255,,Schuldner des Basler Kartäuserklosters,"Die Karte zeigt die säumigen Schuldner und Schuldnerinnen des Basler Kartäuserklosters im Jahr 1660. Weitere, auf der Karte nicht dargestellte Schuldner waren der römisch-deutsche König (1743 lb), das Fürstentum Österreich (4876 lb) und die Landschaft Baden (9250 lb).",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/fdebf5209ca47baa335d55625fc7219e28585e8f.jpg,objects/fdebf5209ca47baa335d55625fc7219e28585e8f.jpg,
m24255_3,abb24255,Geodaten: Kartäuserkloster Basel,"Lage des Kartäuserkloster in Basel 1660.
Koordinatensystem: EPSG:4326 - WGS 84",Frühe Neuzeit,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),,"Schweizer, Eduard: Das Basler Kloster- und Schulgut in seiner Entwicklung bis zur Gegenwart, in: Basler Zeitschrift für Geschichte und Altertumskunde 9, 1910, S. 177-346.",1660,[Dataset](http://purl.org/dc/dcmitype/Dataset),application/geo+json,,,,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,geodata,https://omeka.unibe.ch/files/original/5bbf0052549ef82aec695eda11ed95a8dca2802c.geojson,assets/lib/icons/sgb-globe.svg,assets/lib/icons/sgb-globe.svg,
m24255_4,abb24255,Geodaten: Schuldner des Basler Kartäuserklosters,"Säumige Schuldner und Schuldnerinnen des Basler Kartäuserklosters im Jahr 1660.
Koordinatensystem: EPSG:4326 - WGS 84",Frühe Neuzeit,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),,"Schweizer, Eduard: Das Basler Kloster- und Schulgut in seiner Entwicklung bis zur Gegenwart, in: Basler Zeitschrift für Geschichte und Altertumskunde 9, 1910, S. 177-346.",1660,[Dataset](http://purl.org/dc/dcmitype/Dataset),application/geo+json,,,,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,geodata,https://omeka.unibe.ch/files/original/f3dd3b8bed25d1db71452e011b91d0bdfb0a94f1.geojson,assets/lib/icons/sgb-globe.svg,assets/lib/icons/sgb-globe.svg,
m24255_1,abb24255,Schuldner des Basler Kartäuserklosters 1660,"Die Karte zeigt die säumigen Schuldner und Schuldnerinnen des Basler Kartäuserklosters im Jahr 1660. Weitere, auf der Karte nicht dargestellte Schuldner waren der römisch-deutsche König (1743 lb), das Fürstentum Österreich (4876 lb) und die Landschaft Baden (9250 lb).",Frühe Neuzeit,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),"Schweizer, Eduard: Das Basler Kloster- und Schulgut in seiner Entwicklung bis zur Gegenwart, in: Basler Zeitschrift für Geschichte und Altertumskunde 9, 1910, S. 177–346&#59 Terrain:
Esri Inc., USA. Bearbeitung: Nico Görlich / Moritz Twente",1660,[Image](http://purl.org/dc/dcmitype/Image),application/pdf,1276x1358,,,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://omeka.unibe.ch/files/original/380559ea24fa90c6669991ad78924778ca81329f.pdf,objects/fdebf5209ca47baa335d55625fc7219e28585e8f.jpg,objects/fdebf5209ca47baa335d55625fc7219e28585e8f.jpg,
m24255_2,abb24255,Legende zur Karte 'Schuldner des Basler Kartäuserklosters 1660',"Die Karte zeigt die säumigen Schuldner und Schuldnerinnen des Basler Kartäuserklosters im Jahr 1660. Weitere, auf der Karte nicht dargestellte Schuldner waren der römisch-deutsche König (1743 lb), das Fürstentum Österreich (4876 lb) und die Landschaft Baden (9250 lb).",Frühe Neuzeit,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),"Schweizer, Eduard: Das Basler Kloster- und Schulgut in seiner Entwicklung bis zur Gegenwart, in: Basler Zeitschrift für Geschichte und Altertumskunde 9, 1910, S. 177–346&#59 Terrain:
Esri Inc., USA. Bearbeitung: Nico Görlich / Moritz Twente",1660,[Image](http://purl.org/dc/dcmitype/Image),application/pdf,354x608,de,,"Public Domain Mark
Quelle: Schweizer 1910, S. 177-357; Terrain:
Esri Inc., USA. Bearbeitung: Nico Görlich / Moritz Twente",https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://omeka.unibe.ch/files/original/47d5aeb4a691f66ac12c0623ac5b67a0a6921e96.pdf,objects/8ae1d9651ba05cdeed0df3a5540b5f794d918300.jpg,objects/8ae1d9651ba05cdeed0df3a5540b5f794d918300.jpg,
abb14554,,"Wahlinstrumente für die Besetzung der Basler Staats-, Universitäts- und Zunftämter nach der Ballotierordnung von 1688","Um die vielfach beklagte Korruption bei der Ämtervergabe zu verhindern, versuchte man in Basel seit 1688 das Wahlverfahren durch das sogenannte Ballot zu anonymisieren. Es bestand aus einem Holzkasten und aus Kugeln, die aus unterschiedlichen Materialien gefertigt waren. Mithilfe der Kugeln liess sich die Anzahl der Wahlberechtigten jeweils um ein Drittel reduzieren. So entschied letztlich das Los darüber, wer zu Amt und Würden gelangte.",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/4b85c360756c757d38c75acc12d266bc25fd97f1.jpg,objects/4b85c360756c757d38c75acc12d266bc25fd97f1.jpg,
m14554,abb14554,"Wahlinstrumente für die Besetzung der Basler Staats-, Universitäts- und Zunftämter nach der Ballotierordnung von 1688.","Um die vielfach beklagte Korruption bei der Ämtervergabe zu verhindern, versuchte man in Basel seit 1688 das Wahlverfahren durch das sogenannte Ballot zu anonymisieren. Es bestand aus einem Holzkasten und aus Kugeln, die aus unterschiedlichen Materialien gefertigt waren. Mithilfe der Kugeln liess sich die Anzahl der Wahlberechtigten jeweils um ein Drittel reduzieren. So entschied letztlich das Los darüber, wer zu Amt und Würden gelangte.",Frühe Neuzeit,,,[Historisches Museum Basel](https://www.hmb.ch/),[Historisches Museum Basel Inv. 1880.103](https://www.hmb.ch/museen/sammlungsobjekte/einzelansicht/s/wahlinstrumente-fuer-die-besetzung-der-basler-staats-universitaets-und-zunftaemter-nach-der-ballotie/),1688,[Image](http://purl.org/dc/dcmitype/Image),image/tiff,4418x3272,de,"[Kleiner Rat, Wikipedia](https://de.wikipedia.org/wiki/Kleiner_Rat_(Basel));[Kleiner Rat, Historisches Lexikon Schweiz](https://hls-dhs-dss.ch/de/articles/010236/2010-06-30/)","CC BY-SA 4.0, Historisches Museum Basel, Inv. 1880.103, Foto Maurice Babey",https://creativecommons.org/licenses/by-sa/4.0/,image,https://omeka.unibe.ch/files/original/4b85c360756c757d38c75acc12d266bc25fd97f1.tif,objects/4b85c360756c757d38c75acc12d266bc25fd97f1.jpg,objects/4b85c360756c757d38c75acc12d266bc25fd97f1.jpg,
abb14638,,Stammbaum der Familie Burckhardt,"Ausgehend von den Stammeltern Christoph Burckhardt (1490–1578) und seiner zweiten Ehefrau Gertrud Brand (1516–1600), stellten die Burckhardt über Jahrhunderte hinweg Bürgermeister, Diplomaten und Gelehrte und gehörten damit zu den einflussreichsten Familien Basels. Stammbäume dokumentierten diese Bedeutung der führenden Familien.",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/f1871785b0f0665a7addb7103efb8d611c1345d4.jpg,objects/f1871785b0f0665a7addb7103efb8d611c1345d4.jpg,
m14638,abb14638,Stammbaum der Familie Burckhardt,"Ausgehend von den Stammeltern Christoph Burckhardt (1490–1578) und seiner zweiten Ehefrau Gertrud Brand (1516–1600), stellten die Burckhardt über Jahrhunderte hinweg Bürgermeister, Diplomaten und Gelehrte und gehörten damit zu den einflussreichsten Familien Basels. Stammbäume dokumentierten diese Bedeutung der führenden Familien.",Frühe Neuzeit,,Anonym,[Staatsarchiv Basel-Stadt](https://dls.staatsarchiv.bs.ch/),"[Staatsarchiv Basel-Stadt, Stammbäume 53](https://dls.staatsarchiv.bs.ch/records/320060)",1816,[Image](http://purl.org/dc/dcmitype/Image),image/tiff,8825x7547,de,"[Burckhardt, Historisches Lexikon Schweiz](https://hls-dhs-dss.ch/de/articles/020956/2005-02-16/)","Bilddaten gemeinfrei, Staatsarchiv Basel-Stadt, Stammbäume 53",https://creativecommons.org/publicdomain/mark/1.0/,image,https://omeka.unibe.ch/files/original/f1871785b0f0665a7addb7103efb8d611c1345d4.tif,objects/f1871785b0f0665a7addb7103efb8d611c1345d4.jpg,objects/f1871785b0f0665a7addb7103efb8d611c1345d4.jpg,
abb14896,,Goldene Basler Verdienstmedaille,"Weibliche Allegorien spielten in der politischen Symbolik der Stadt eine grosse Rolle. Die mit Mauerkrone, Wappenschild, Freiheitshut und Füllhorn dargestellte ‹Basilea› symbolisierte die Wehrhaftigkeit und Souveränität der freien ‹Republik›.",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/b49271808577d761a62878dbfd23a36054d4430e.jpg,objects/b49271808577d761a62878dbfd23a36054d4430e.jpg,
m14896,abb14896,Goldene Basler Verdienstmedaille,"Weibliche Allegorien spielten in der politischen Symbolik der Stadt eine grosse Rolle. Die mit Mauerkrone, Wappenschild, Freiheitshut und Füllhorn dargestellte ‹Basilea› symbolisierte die Wehrhaftigkeit und Souveränität der freien ‹Republik›.",Frühe Neuzeit,,Johann Jakob Handmann,[Swiss International Coin Auction AG](http://www.sincona.com/),[SINCONA](https://auktionen.sincona.com/Los/37/4149.0/SCHWEIZ%2FBasel%2FStadt%20und%20Kanton%20Basel/forceprint/),1769,[Image](http://purl.org/dc/dcmitype/Image),image/jpeg,893x889,de,,"CC-BY-SA 4.0, Exemplar der Auktion SINCONA 57, Zürich, Mai 2019, Los 4149, www.sincona.com",https://creativecommons.org/licenses/by/4.0/,image,https://omeka.unibe.ch/files/original/b49271808577d761a62878dbfd23a36054d4430e.jpg,objects/b49271808577d761a62878dbfd23a36054d4430e.jpg,objects/b49271808577d761a62878dbfd23a36054d4430e.jpg,
abb15034,,Basler Botenbüchse,"Die politische Kommunikation zwischen entfernten Orten wurde in der Regel durch Boten organisiert, die Briefe und Geschenke mit sich führten. Basel stattete seine Boten unter anderem mit einer kleinen Botenbüchse aus, die mit dem Baselstab als Erkennungszeichen versehen war.",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/735b279ffc4bf622af12bbb08f1ed80ed863bf4e.jpg,objects/735b279ffc4bf622af12bbb08f1ed80ed863bf4e.jpg,
m15034,abb15034,Basler Botenbüchse,"Die politische Kommunikation zwischen entfernten Orten wurde in der Regel durch Boten organisiert, die Briefe und Geschenke mit sich führten. Basel stattete seine Boten unter anderem mit einer kleinen Botenbüchse aus, die mit dem Baselstab als Erkennungszeichen versehen war.",Frühe Neuzeit,,,[Historisches Museum Basel](https://www.hmb.ch/),[Historisches Museum Basel Inv. 1870.891](https://www.hmb.ch/museen/sammlungsobjekte/einzelansicht/s/basler-botenbuechse/),1553,[Image](http://purl.org/dc/dcmitype/Image),image/tiff,2688x5330,de,[abb14219](https://forschung.stadtgeschichtebasel.ch/items/abb14219.html#m14219);[abb14227](https://forschung.stadtgeschichtebasel.ch/itemsabb14227.html#m14227),"CC BY-SA 4.0, Historisches Museum Basel, Inv. 1870.891, Foto Maurice Babey",https://creativecommons.org/licenses/by-sa/4.0/,image,https://omeka.unibe.ch/files/original/735b279ffc4bf622af12bbb08f1ed80ed863bf4e.tif,objects/735b279ffc4bf622af12bbb08f1ed80ed863bf4e.jpg,objects/735b279ffc4bf622af12bbb08f1ed80ed863bf4e.jpg,
abb15043,,Basler Merianplan,"Matthäus Merian d.Ä. (1593–1650) erstellte 1617 auf der Basis umfangreicher Vorarbeiten eine Radierung von Basel aus der Vogelperspektive, die einen detaillierten Eindruck von der Stadt gibt (Masse: 70 × 105 cm). Am linken unteren Bildrand findet sich eine Figurengruppe. Sie umfasst neben einem Bürgermeister, Ratsherrn und Bürger auch einen jungen Mann sowie eine verheiratete und eine ledige Frau. Auf den Gassen und Plätzen der Stadt sind Menschen und Fuhrwerke zu sehen, und der Rhein wird von Schiffen befahren.",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/cdc39bd4dc167d21af0bf4f033a353aaa4616631.jpg,objects/cdc39bd4dc167d21af0bf4f033a353aaa4616631.jpg,
